epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.966,1.71745,1.77967,1.34803,0.83171,0.70783,0.78781,0.35391,1.76285,1.38504,1.38946,0.000664444,0.000664444,0.000664444
2,289.728,1.37007,1.02983,1.15887,0.88638,0.87733,0.93954,0.46537,1.69482,1.07338,1.41887,0.00128718,0.00128718,0.00128718
3,443.717,1.25757,0.96249,1.13388,0.94767,0.77922,0.85655,0.43318,1.77661,1.26492,1.46485,0.00186592,0.00186592,0.00186592
4,578.548,1.20258,0.85353,1.09947,0.94671,0.81009,0.9313,0.46326,1.73465,0.98859,1.5188,0.001802,0.001802,0.001802
5,711.277,1.18138,0.78292,1.10452,0.934,0.86705,0.95387,0.52957,1.56716,0.85081,1.39837,0.001736,0.001736,0.001736
6,845.639,1.08158,0.7042,1.04996,0.94235,0.86081,0.9517,0.48357,1.68546,0.821,1.45533,0.00167,0.00167,0.00167
7,982.443,1.04611,0.68746,1.03074,0.90175,0.91366,0.9503,0.49293,1.67674,0.8271,1.4162,0.001604,0.001604,0.001604
8,1132.04,1.04652,0.64457,1.03688,0.94657,0.92161,0.97612,0.53603,1.57483,0.73541,1.36958,0.001538,0.001538,0.001538
9,1265.32,0.97505,0.60799,1.01049,0.9232,0.91108,0.96912,0.52121,1.63349,0.73619,1.37053,0.001472,0.001472,0.001472
10,1398.67,0.98918,0.60368,1.01477,0.93502,0.90566,0.95414,0.5189,1.58085,0.7373,1.32379,0.001406,0.001406,0.001406
11,1532.11,0.90839,0.55436,0.97595,0.94631,0.88504,0.94808,0.48226,1.74205,0.76527,1.4701,0.00134,0.00134,0.00134
12,1664.73,0.92621,0.58702,0.99553,0.94025,0.90302,0.96455,0.55024,1.56543,0.72626,1.34934,0.001274,0.001274,0.001274
13,1797.6,0.90581,0.55289,0.98384,0.98102,0.90816,0.96284,0.51308,1.64061,0.69971,1.402,0.001208,0.001208,0.001208
14,1930.78,0.90465,0.54037,0.98454,0.93372,0.93194,0.96396,0.52436,1.61608,0.68835,1.40528,0.001142,0.001142,0.001142
15,2065.7,0.84595,0.51638,0.96521,0.94347,0.93385,0.96916,0.53606,1.58425,0.65231,1.35534,0.001076,0.001076,0.001076
16,2199.03,0.83004,0.49542,0.95426,0.95121,0.91394,0.97249,0.56814,1.5454,0.64332,1.30397,0.00101,0.00101,0.00101
17,2333.15,0.80433,0.49074,0.94445,0.95766,0.92983,0.97402,0.54941,1.56928,0.64456,1.36429,0.000944,0.000944,0.000944
18,2465.2,0.77315,0.4673,0.93217,0.96543,0.93577,0.97324,0.53893,1.5689,0.63069,1.34302,0.000878,0.000878,0.000878
19,2595.54,0.7522,0.46587,0.92922,0.95085,0.94426,0.97471,0.55062,1.61734,0.65921,1.39871,0.000812,0.000812,0.000812
20,2726,0.73183,0.44967,0.91881,0.95175,0.93385,0.96828,0.56862,1.57336,0.64503,1.37587,0.000746,0.000746,0.000746
21,2856.66,0.64802,0.39004,0.86846,0.95931,0.91843,0.96269,0.54439,1.58637,0.63734,1.40282,0.00068,0.00068,0.00068
22,2986.52,0.6175,0.36526,0.86688,0.96851,0.92836,0.97248,0.56671,1.56823,0.61514,1.37472,0.000614,0.000614,0.000614
23,3116.13,0.59959,0.35558,0.85332,0.95362,0.91128,0.96121,0.57418,1.56154,0.62528,1.34867,0.000548,0.000548,0.000548
24,3246.21,0.57814,0.3427,0.84806,0.95172,0.94091,0.96596,0.56291,1.55142,0.61854,1.35147,0.000482,0.000482,0.000482
25,3376.21,0.5452,0.32867,0.84136,0.97051,0.90882,0.96403,0.55997,1.59414,0.6194,1.39649,0.000416,0.000416,0.000416
26,3506.36,0.53708,0.32482,0.83888,0.96094,0.91638,0.96249,0.57362,1.55998,0.61214,1.37419,0.00035,0.00035,0.00035
27,3636.3,0.51816,0.31693,0.83516,0.96243,0.91843,0.96659,0.57595,1.52258,0.61401,1.34891,0.000284,0.000284,0.000284
28,3765.88,0.50649,0.3079,0.83253,0.95194,0.90324,0.9633,0.56814,1.54215,0.61516,1.36085,0.000218,0.000218,0.000218
29,3896.12,0.48575,0.29841,0.82727,0.95396,0.93145,0.96666,0.57829,1.52375,0.60796,1.35437,0.000152,0.000152,0.000152
30,4025.71,0.48242,0.29504,0.82933,0.96292,0.91722,0.96858,0.5731,1.54571,0.60708,1.37279,8.6e-05,8.6e-05,8.6e-05
